,dropout,dropout_nofirst,ensemble,ll_dropout,ll_svi,svi,temp_scaling,vanilla
corrupt-static-brightness-1,0.1395377516746521,0.13294106721878052,0.09865927696228027,0.1620635986328125,0.14618921279907227,0.16659492254257202,0.13922003636294855,0.1478058099746704
corrupt-static-brightness-2,0.145094633102417,0.13891083002090454,0.1032302975654602,0.16883420944213867,0.15339678525924683,0.17289751768112183,0.1456606720653496,0.15485966205596924
corrupt-static-brightness-3,0.15412741899490356,0.14858663082122803,0.11113554239273071,0.18092602491378784,0.1659456491470337,0.18263155221939087,0.1561397047131292,0.16620653867721558
corrupt-static-brightness-4,0.16594064235687256,0.16160911321640015,0.12152600288391113,0.19714850187301636,0.1815548539161682,0.19506299495697021,0.16978584134511587,0.18092280626296997
corrupt-static-brightness-5,0.2015959620475769,0.19918513298034668,0.1531725525856018,0.24316662549972534,0.2267383337020874,0.2305580973625183,0.20937935073164826,0.2239295244216919
corrupt-static-contrast-1,0.15147197246551514,0.14189249277114868,0.10566318035125732,0.172316312789917,0.15742075443267822,0.1761264204978943,0.14654061588593525,0.15486109256744385
corrupt-static-contrast-2,0.23925858736038208,0.20940017700195312,0.15588539838790894,0.25805914402008057,0.22727632522583008,0.2601141333580017,0.2105823670891297,0.2205568552017212
corrupt-static-contrast-3,0.3450241684913635,0.2864636182785034,0.21557772159576416,0.3584287166595459,0.30822086334228516,0.35872143507003784,0.28760019446133234,0.3029995560646057
corrupt-static-contrast-4,0.5539877414703369,0.4450480341911316,0.34351909160614014,0.5793417096138,0.4776090383529663,0.552430659532547,0.44564544953866403,0.47727805376052856
corrupt-static-contrast-5,0.9600130431354046,0.8693826049566269,0.8065103441476822,1.1487764418125153,0.9784733224660158,0.9650529623031616,0.8789343211029348,0.9885480776429176
corrupt-static-defocus_blur-1,0.14111268520355225,0.13416624069213867,0.09980148077011108,0.16448873281478882,0.14762544631958008,0.1677507758140564,0.14043533913641337,0.14894318580627441
corrupt-static-defocus_blur-2,0.1688464879989624,0.1625954508781433,0.12061971426010132,0.19646841287612915,0.18022704124450684,0.19676297903060913,0.1700839458389699,0.180270254611969
corrupt-static-defocus_blur-3,0.24312818050384521,0.24477356672286987,0.1871107816696167,0.2859203815460205,0.2789713144302368,0.2741639018058777,0.26279455791637985,0.282389760017395
corrupt-static-defocus_blur-4,0.3686665892601013,0.37411248683929443,0.29768669605255127,0.44116854667663574,0.4309539198875427,0.39205342531204224,0.3923906212688323,0.427065908908844
corrupt-static-defocus_blur-5,0.6377884745597839,0.6502088010311127,0.5482719540596008,0.7409667372703552,0.7315577268600464,0.6012944281101227,0.6711325760809097,0.7444180548191071
corrupt-static-elastic_transform-1,0.2156616449356079,0.21573233604431152,0.16672223806381226,0.26067453622817993,0.24720239639282227,0.24973225593566895,0.2297130146097951,0.24487125873565674
corrupt-static-elastic_transform-2,0.2157464623451233,0.21444392204284668,0.16691303253173828,0.2587711811065674,0.2476692795753479,0.24903351068496704,0.23118440699507492,0.24607545137405396
corrupt-static-elastic_transform-3,0.26684194803237915,0.2720019817352295,0.22120273113250732,0.32702934741973877,0.32406383752822876,0.3026001453399658,0.2980949488825775,0.3203343152999878
corrupt-static-elastic_transform-4,0.32373130321502686,0.3362201452255249,0.30027228593826294,0.4132254123687744,0.4378587007522583,0.3666554093360901,0.3909064534208918,0.4237663745880127
corrupt-static-elastic_transform-5,0.35352927446365356,0.38433945178985596,0.36905908584594727,0.47941577434539795,0.5185195207595825,0.40397292375564575,0.45739134462575814,0.5030529797077179
corrupt-static-fog-1,0.14317607879638672,0.13466185331344604,0.1007642149925232,0.16471374034881592,0.1505470871925354,0.16862130165100098,0.14087913247506412,0.14879822731018066
corrupt-static-fog-2,0.17059266567230225,0.15680360794067383,0.11712437868118286,0.1912229061126709,0.17599815130233765,0.19257056713104248,0.16325964700698747,0.17145788669586182
corrupt-static-fog-3,0.21416568756103516,0.19087523221969604,0.14421159029006958,0.23185598850250244,0.21219134330749512,0.2321627140045166,0.19743333783017525,0.20720213651657104
corrupt-static-fog-4,0.28976601362228394,0.248338520526886,0.19384080171585083,0.308685839176178,0.28210705518722534,0.29564177989959717,0.2560230922378204,0.27201664447784424
corrupt-static-fog-5,0.5284944176673889,0.46021515130996704,0.42639416456222534,0.5774345397949219,0.5768395066261292,0.5208570659160614,0.5066579898918111,0.565662145614624
corrupt-static-frost-1,0.1734369397163391,0.18562227487564087,0.16139334440231323,0.23108506202697754,0.24248850345611572,0.22387826442718506,0.22051600218310896,0.23771685361862183
corrupt-static-frost-2,0.2348293662071228,0.2734580636024475,0.24842631816864014,0.33318591117858887,0.35160624980926514,0.3085605502128601,0.3175177622822297,0.34693998098373413
corrupt-static-frost-3,0.33747631311416626,0.42210662364959717,0.38677966594696045,0.5014292895793915,0.5256288945674896,0.4396946430206299,0.4723501356746689,0.5237037837505341
corrupt-static-frost-4,0.35851770639419556,0.4572485089302063,0.4185914993286133,0.5385926961898804,0.5608650743961334,0.4626860022544861,0.5048615916347042,0.5614430010318756
corrupt-static-frost-5,0.4938322901725769,0.6276240646839142,0.5663166344165802,0.7235976457595825,0.7332103252410889,0.612023800611496,0.6700960241535168,0.7544884830713272
corrupt-static-gaussian_blur-1,0.14105284214019775,0.1341397762298584,0.09989947080612183,0.16464388370513916,0.14773821830749512,0.1676807999610901,0.1405339869002088,0.149072527885437
corrupt-static-gaussian_blur-2,0.24655431509017944,0.24832701683044434,0.18974041938781738,0.2890521287918091,0.2817765474319458,0.27629607915878296,0.2657319687746936,0.28566867113113403
corrupt-static-gaussian_blur-3,0.3695463538169861,0.39022350311279297,0.3192111849784851,0.4502767324447632,0.4565204977989197,0.39907777309417725,0.4280725584376234,0.4669196605682373
corrupt-static-gaussian_blur-4,0.511682778596878,0.5526771545410156,0.4799482226371765,0.6404624879360199,0.6541980803012848,0.5354051887989044,0.6083807459116687,0.6727116107940674
corrupt-static-gaussian_blur-5,0.7641419172286987,0.8257127553224564,0.7656037360429764,0.9734020922333002,0.9622236229479313,0.7738740891218185,0.8760821300337999,0.9860737705603242
corrupt-static-gaussian_noise-1,0.2567101716995239,0.36217939853668213,0.36900442838668823,0.41800427436828613,0.4861152768135071,0.39191657304763794,0.42054225656781485,0.46421509981155396
corrupt-static-gaussian_noise-2,0.4633432626724243,0.7112234830856323,0.7187361419200897,0.7553485929965973,0.8563510179519653,0.6761941909790039,0.7176267383127144,0.8075371533632278
corrupt-static-gaussian_noise-3,0.7086616456508636,1.0671870037913322,0.9861049167811871,1.0916717797517776,1.1448719799518585,0.9443959072232246,0.9433079604981035,1.071082927286625
