,dropout,dropout_nofirst,ensemble,ll_dropout,ll_svi,svi,temp_scaling,vanilla
corrupt-static-brightness-1,0.008614842,0.004523745,0.015773315,0.05267921,0.046369277,0.019788412,0.0053840503,0.046433087
corrupt-static-brightness-2,0.008138727,0.0035185036,0.016625738,0.055478673,0.048217926,0.021078296,0.007301893,0.049601145
corrupt-static-brightness-3,0.007832967,0.0043871123,0.017407281,0.060003787,0.052943982,0.023059528,0.007859284,0.053449616
corrupt-static-brightness-4,0.0077344114,0.0041378024,0.017893255,0.06645706,0.05847496,0.025404435,0.00982699,0.058805034
corrupt-static-brightness-5,0.0062357327,0.009449185,0.018961286,0.08283261,0.07487833,0.032072864,0.014409527,0.07171205
corrupt-static-contrast-1,0.011193914,0.0055241305,0.017009854,0.057337068,0.04763885,0.02054954,0.0029415637,0.046737287
corrupt-static-contrast-2,0.00626586,0.004013666,0.021966694,0.09288634,0.067530915,0.039307896,0.009468162,0.060614876
corrupt-static-contrast-3,0.016894333,0.012278726,0.02128829,0.13147724,0.09179093,0.067332745,0.009771896,0.08235939
corrupt-static-contrast-4,0.07392857,0.039021928,0.0147680165,0.22625574,0.14782637,0.1346844,0.01705473,0.13532841
corrupt-static-contrast-5,0.23543397,0.16538106,0.14831717,0.47617292,0.34789234,0.29530528,0.17947125,0.34184784
corrupt-static-defocus_blur-1,0.009989665,0.0037542614,0.016866373,0.054406386,0.04526501,0.017839268,0.0039059308,0.04667283
corrupt-static-defocus_blur-2,0.009794977,0.0029178848,0.020311914,0.06585871,0.055654913,0.022519413,0.0035017813,0.054873005
corrupt-static-defocus_blur-3,0.009618718,0.01744764,0.017067434,0.10095115,0.09151122,0.042392485,0.017828042,0.09012704
corrupt-static-defocus_blur-4,0.048558913,0.060083587,0.014353195,0.16966984,0.15142538,0.081337675,0.052431047,0.14633909
corrupt-static-defocus_blur-5,0.16081919,0.17506681,0.0913683,0.30495134,0.27403745,0.16374427,0.15176775,0.27649575
corrupt-static-elastic_transform-1,0.008060681,0.0031205139,0.025701579,0.0889309,0.0772776,0.031293377,0.009157563,0.076219454
corrupt-static-elastic_transform-2,0.009015229,0.0039377077,0.026082447,0.08783738,0.077217445,0.030845419,0.008397111,0.07603596
corrupt-static-elastic_transform-3,0.007986924,0.018018594,0.01863642,0.115797415,0.10531904,0.047158793,0.018833593,0.10022303
corrupt-static-elastic_transform-4,0.015048548,0.027389579,0.016555395,0.14842108,0.15000567,0.06596491,0.040764034,0.13837753
corrupt-static-elastic_transform-5,0.009738984,0.037248608,0.013896845,0.17506622,0.18703188,0.075991385,0.071447685,0.17653444
corrupt-static-fog-1,0.010923043,0.004716554,0.017264105,0.054318182,0.04635476,0.017330132,0.0025539617,0.045020748
corrupt-static-fog-2,0.013660245,0.0049933093,0.022414528,0.0639282,0.053017627,0.0200447,0.004965003,0.04900842
corrupt-static-fog-3,0.011995675,0.0025442196,0.024416002,0.07790163,0.06266029,0.027738163,0.006105339,0.05904583
corrupt-static-fog-4,0.010320097,0.0070845233,0.020203672,0.11163984,0.08801681,0.043724205,0.0056699156,0.07989575
corrupt-static-fog-5,0.095027395,0.07391357,0.052896835,0.22890961,0.21362314,0.13056503,0.08993398,0.2040477
corrupt-static-frost-1,0.0066878432,0.005674625,0.018519076,0.078496404,0.08111911,0.033780556,0.018872995,0.079081014
corrupt-static-frost-2,0.008339736,0.03183685,0.01078026,0.12161649,0.12153727,0.06286556,0.045011558,0.12187522
corrupt-static-frost-3,0.042126626,0.08837871,0.03134122,0.19422588,0.19357531,0.112966895,0.09591505,0.19456717
corrupt-static-frost-4,0.054075394,0.10648436,0.04461968,0.2124517,0.2072946,0.12265217,0.11012228,0.21210456
