dataset,method,split,traintest,coverage,width,rmse
bostonHousing,linear_regression,0,test,0.921568627,1.99465525,5.591623675
bostonHousing,linear_regression,0,train,0.95814978,1.998174089,4.598799604
bostonHousing,linear_regression,1,test,0.980392157,2.071787396,3.904191719
bostonHousing,linear_regression,1,train,0.95154185,2.071269555,4.733033404
bostonHousing,linear_regression,2,test,0.960784314,2.088560466,4.206981516
bostonHousing,linear_regression,2,train,0.953744493,2.089919406,4.705057348
bostonHousing,linear_regression,3,test,0.980392157,2.09261547,3.811992281
bostonHousing,linear_regression,3,train,0.95154185,2.093937209,4.766753453
bostonHousing,linear_regression,4,test,0.941176471,2.039512803,6.106167942
bostonHousing,linear_regression,4,train,0.953744493,2.036101114,4.518135354
bostonHousing,linear_regression,5,test,0.921568627,2.017576514,5.567977524
bostonHousing,linear_regression,5,train,0.949339207,2.018248984,4.539221916
bostonHousing,linear_regression,6,test,0.960784314,2.032710414,4.890385269
bostonHousing,linear_regression,6,train,0.955947137,2.034056989,4.752250475
bostonHousing,linear_regression,7,test,0.960784314,2.035588814,5.054499261
bostonHousing,linear_regression,7,train,0.949339207,2.032205485,4.608740499
bostonHousing,linear_regression,8,test,0.960784314,2.036436446,4.729687504
bostonHousing,linear_regression,8,train,0.955947137,2.037550472,4.658084763
bostonHousing,linear_regression,9,test,0.921568627,2.073742589,5.531853167
bostonHousing,linear_regression,9,train,0.953744493,2.074389563,4.606321971
bostonHousing,linear_regression,10,test,0.941176471,2.076285627,4.867385977
bostonHousing,linear_regression,10,train,0.95154185,2.07713011,4.65831167
bostonHousing,linear_regression,11,test,0.980392157,2.051630041,4.291106391
bostonHousing,linear_regression,11,train,0.955947137,2.052433396,4.759179865
bostonHousing,linear_regression,12,test,0.960784314,2.025947672,4.59471176
bostonHousing,linear_regression,12,train,0.953744493,2.024064434,4.651917182
bostonHousing,linear_regression,13,test,0.862745098,2.053864873,5.565534422
bostonHousing,linear_regression,13,train,0.95814978,2.055109751,4.597018716
bostonHousing,linear_regression,14,test,0.980392157,2.055537166,4.021841601
bostonHousing,linear_regression,14,train,0.955947137,2.058863103,4.750683101
bostonHousing,linear_regression,15,test,0.980392157,2.095535129,4.649355785
bostonHousing,linear_regression,15,train,0.95154185,2.098591068,4.694863543
bostonHousing,linear_regression,16,test,0.921568627,2.00810733,5.471212974
bostonHousing,linear_regression,16,train,0.955947137,2.010246231,4.580418495
bostonHousing,linear_regression,17,test,0.941176471,2.048744585,5.174763777
bostonHousing,linear_regression,17,train,0.955947137,2.046645668,4.728440639
bostonHousing,linear_regression,18,test,0.980392157,2.052710196,4.21834277
bostonHousing,linear_regression,18,train,0.953744493,2.05555559,4.761525405
bostonHousing,linear_regression,19,test,0.862745098,1.89633549,7.058278755
bostonHousing,linear_regression,19,train,0.953744493,1.897466417,4.289135246
concrete,linear_regression,0,test,0.912621359,2.436724327,10.99347103
concrete,linear_regression,0,train,0.954643629,2.436167763,10.30067477
concrete,linear_regression,1,test,0.941747573,2.456483722,10.04609037
concrete,linear_regression,1,train,0.950323974,2.456748531,10.43084985
concrete,linear_regression,2,test,0.951456311,2.47788263,10.03323137
concrete,linear_regression,2,train,0.950323974,2.478527883,10.4002541
concrete,linear_regression,3,test,0.941747573,2.446537085,10.61589199
concrete,linear_regression,3,train,0.950323974,2.446606686,10.34291868
concrete,linear_regression,4,test,0.951456311,2.459336848,9.354227086
concrete,linear_regression,4,train,0.952483801,2.460140677,10.4895033
concrete,linear_regression,5,test,0.970873786,2.461809392,9.025546943
concrete,linear_regression,5,train,0.94924406,2.462550695,10.49824077
concrete,linear_regression,6,test,0.922330097,2.44241965,10.68558277
concrete,linear_regression,6,train,0.951403888,2.442220064,10.34064582
concrete,linear_regression,7,test,0.961165049,2.466354771,10.55777772
concrete,linear_regression,7,train,0.951403888,2.466627176,10.32424523
concrete,linear_regression,8,test,0.932038835,2.471328483,10.87133334
concrete,linear_regression,8,train,0.94924406,2.469847201,10.30834023
concrete,linear_regression,9,test,0.951456311,2.473276405,9.375072923
concrete,linear_regression,9,train,0.950323974,2.472380223,10.47691618
concrete,linear_regression,10,test,0.941747573,2.45935825,10.70297511
concrete,linear_regression,10,train,0.947084233,2.458448624,10.36143701
concrete,linear_regression,11,test,0.961165049,2.459470662,9.80948003
concrete,linear_regression,11,train,0.952483801,2.459310548,10.42896641
concrete,linear_regression,12,test,0.970873786,2.480926856,10.00629766
concrete,linear_regression,12,train,0.947084233,2.480177923,10.38705688
concrete,linear_regression,13,test,0.941747573,2.434973319,10.7942604
concrete,linear_regression,13,train,0.94924406,2.434951988,10.30511924
concrete,linear_regression,14,test,0.941176471,2.445411261,10.64294648
concrete,linear_regression,14,train,0.951456311,2.444802088,10.38825127
concrete,linear_regression,15,test,0.941747573,2.456902428,10.37696037
concrete,linear_regression,15,train,0.94924406,2.457220862,10.38352553
concrete,linear_regression,16,test,0.912621359,2.431369543,10.77478784
concrete,linear_regression,16,train,0.952483801,2.431877396,10.29641213
concrete,linear_regression,17,test,0.922330097,2.448864533,11.35156884
concrete,linear_regression,17,train,0.94924406,2.448967684,10.25933083
concrete,linear_regression,18,test,0.941747573,2.466924041,10.31207253
concrete,linear_regression,18,train,0.951403888,2.466297312,10.3785854
concrete,linear_regression,19,test,0.961165049,2.448024317,10.97637763
concrete,linear_regression,19,train,0.944924406,2.447504679,10.29207855
energy,linear_regression,0,test,0.922077922,1.155420532,2.821304496
energy,linear_regression,0,train,0.901449275,1.155280241,2.92861289
energy,linear_regression,1,test,0.844155844,1.131760352,3.286939562
energy,linear_regression,1,train,0.897101449,1.13204379,2.872504019
energy,linear_regression,2,test,0.921052632,1.139808026,3.06566554
energy,linear_regression,2,train,0.895803184,1.13992519,2.908901742
energy,linear_regression,3,test,0.922077922,1.143205816,2.819515312
energy,linear_regression,3,train,0.901449275,1.143298853,2.930734688
energy,linear_regression,4,test,0.894736842,1.163087804,3.175325935
energy,linear_regression,4,train,0.903039074,1.163039625,2.941248787
energy,linear_regression,5,test,0.935064935,1.166205235,2.829279042
energy,linear_regression,5,train,0.901449275,1.166548791,2.965070262
energy,linear_regression,6,test,0.881578947,1.150568739,3.216348818
energy,linear_regression,6,train,0.895803184,1.150506919,2.905013858
energy,linear_regression,7,test,0.909090909,1.124479761,3.353498542
energy,linear_regression,7,train,0.895652174,1.124309161,2.881919414
energy,linear_regression,8,test,0.948051948,1.167382878,2.452486174
energy,linear_regression,8,train,0.907246377,1.167316393,2.967789951
energy,linear_regression,9,test,0.883116883,1.14174125,3.414953346
energy,linear_regression,9,train,0.894202899,1.14145324,2.887900174
energy,linear_regression,10,test,0.857142857,1.116933343,4.012144055
energy,linear_regression,10,train,0.888405797,1.11640752,2.8363243
energy,linear_regression,11,test,0.896103896,1.156071715,3.01946428
energy,linear_regression,11,train,0.902898551,1.156242356,2.946746294
energy,linear_regression,12,test,0.857142857,1.150929401,3.072487489
energy,linear_regression,12,train,0.898550725,1.150908014,2.909412507
energy,linear_regression,13,test,0.855263158,1.136282972,3.148401039
energy,linear_regression,13,train,0.897250362,1.136304629,2.893849777
energy,linear_regression,14,test,0.883116883,1.130362909,3.259099897
energy,linear_regression,14,train,0.901449275,1.130528654,2.891383436
energy,linear_regression,15,test,0.909090909,1.164519749,2.780757656
energy,linear_regression,15,train,0.9,1.164593331,2.931194785
energy,linear_regression,16,test,0.87012987,1.135092058,3.973220766
energy,linear_regression,16,train,0.902898551,1.13490941,2.874396676
energy,linear_regression,17,test,0.883116883,1.133012419,3.654684168
energy,linear_regression,17,train,0.897101449,1.13316616,2.880880768
energy,linear_regression,18,test,0.934210526,1.131638655,2.999849103
energy,linear_regression,18,train,0.904486252,1.131579954,2.912846619
energy,linear_regression,19,test,0.907894737,1.141579886,3.084586969
energy,linear_regression,19,train,0.89869754,1.141427861,2.909557472
kin8nm,linear_regression,0,test,0.94993895,2.996831606,0.204040583
kin8nm,linear_regression,0,train,0.951844818,2.996831403,0.201527384
kin8nm,linear_regression,1,test,0.94017094,3.010582118,0.204632884
kin8nm,linear_regression,1,train,0.954150841,3.010581293,0.201469273
kin8nm,linear_regression,2,test,0.954822955,2.997548608,0.199160715
kin8nm,linear_regression,2,train,0.953336951,2.997548447,0.202151729
kin8nm,linear_regression,3,test,0.948717949,3.006173966,0.203979279
kin8nm,linear_regression,3,train,0.951844818,3.006175496,0.201570386
kin8nm,linear_regression,4,test,0.946275946,2.993225066,0.208095371
kin8nm,linear_regression,4,train,0.951437873,2.993225115,0.2010933
kin8nm,linear_regression,5,test,0.965811966,3.003672376,0.195425186
kin8nm,linear_regression,5,train,0.951030928,3.003674243,0.202496077
kin8nm,linear_regression,6,test,0.960927961,3.007453633,0.203529423
kin8nm,linear_regression,6,train,0.951166576,3.007454294,0.201573778
kin8nm,linear_regression,7,test,0.956043956,3.001651491,0.198521219
kin8nm,linear_regression,7,train,0.951844818,3.001650492,0.202158468
kin8nm,linear_regression,8,test,0.951100244,3.006254,0.2084926
kin8nm,linear_regression,8,train,0.95171572,3.006254145,0.201063771
kin8nm,linear_regression,9,test,0.948717949,3.004342536,0.203155466
kin8nm,linear_regression,9,train,0.951980467,3.004341378,0.20164631
kin8nm,linear_regression,10,test,0.941320293,2.997927771,0.205187267
