,dropout,ensemble,ll_dropout,ll_svi,svi,temp_scaling,vanilla
fashion_mnist,0.59766436,0.52816427,0.58593637,0.52902913,0.306394,0.50031805,0.60564935
not_mnist,0.59947133,0.65457565,0.60882515,0.6277389,0.3651133,0.69929695,0.7605358
roll_10,0.6546465,0.60798985,0.64965713,0.6699944,0.4067523,0.64504683,0.71488714
roll_12,0.6600024,0.5723913,0.6645906,0.70737106,0.35985637,0.6379687,0.70781773
roll_14,0.5902273,0.5031578,0.6137351,0.6322333,0.22729999,0.5978677,0.67238647
roll_16,0.56593883,0.51651853,0.5953226,0.6312606,0.18495536,0.59700096,0.6770262
roll_18,0.575776,0.5715683,0.57580066,0.62521464,0.24337518,0.60427624,0.6819649
roll_2,0.0039726356,0.0039015291,0.0050697466,0.008506991,0.0897879,0.0025043536,0.019217538
roll_20,0.5240411,0.5116279,0.5241132,0.55450344,0.27594256,0.5371417,0.6136805
roll_22,0.38675892,0.39694634,0.38676608,0.40249723,0.22164479,0.42597675,0.4985389
roll_24,0.128965,0.17797709,0.12453655,0.14305183,0.05673282,0.19994587,0.2554421
roll_26,0.009345776,0.0013599375,0.005330935,0.0030221276,0.09686384,0.0029232914,0.019895144
roll_4,0.17713852,0.17702907,0.16372222,0.18238461,0.09346214,0.20343375,0.26507747
roll_6,0.48779485,0.5085179,0.4734844,0.5095316,0.32902592,0.5274135,0.60058093
roll_8,0.6244335,0.6098883,0.6189238,0.64663255,0.41134685,0.63359225,0.7061398
rot_105,0.59013516,0.6433486,0.5940595,0.5998938,0.41188303,0.6468197,0.7175636
rot_120,0.56519824,0.6003108,0.562189,0.5839923,0.4099151,0.6039773,0.67459047
rot_135,0.5035811,0.5346974,0.4983729,0.5173682,0.35847354,0.53322375,0.60481787
rot_15,0.0008712062,0.00378941,0.0014417692,0.003526289,0.07195986,0.0011420299,0.011469288
rot_150,0.46404314,0.50005656,0.46447867,0.47040147,0.3267665,0.4946755,0.56029534
rot_165,0.4670599,0.49419776,0.46965992,0.47014803,0.3396485,0.49193475,0.546358
rot_180,0.4769072,0.50027275,0.48192638,0.47993553,0.3528238,0.5010055,0.5478292
rot_30,0.048601076,0.059845407,0.044474393,0.050234087,0.05586684,0.053768598,0.09043169
rot_45,0.22527751,0.25794268,0.22591355,0.2288963,0.09940397,0.25618523,0.3214173
rot_60,0.41675943,0.47777402,0.43925518,0.42290428,0.23442206,0.4693629,0.5469529
rot_75,0.52603865,0.59202445,0.5529216,0.52592945,0.32013482,0.590844,0.6690122
rot_90,0.57437664,0.639072,0.59439605,0.5760955,0.36767524,0.64466417,0.71898055
test,0.0028436398,0.001492556,0.0018624746,0.0018177439,0.041216824,0.002408808,0.002896412
train,0.0043196557,0.0021961946,0.0039729974,0.0035093152,0.04788758,0.0055955336,0.0014784293
valid,0.0012397212,0.0019266256,0.0008471666,0.0017885667,0.041210327,0.00093282794,0.0043372437
