dataset,method,split,traintest,coverage,width,rmse
bostonHousing,gp,0,trainval,0.975824176,1.877985818,3.526072461
bostonHousing,gp,0,test,0.980392157,1.861471993,2.587916155
bostonHousing,gp,1,trainval,0.973626374,1.869855891,3.487623312
bostonHousing,gp,1,test,0.980392157,1.867741742,2.844270417
bostonHousing,gp,2,trainval,0.975824176,1.896192055,3.531123101
bostonHousing,gp,2,test,0.980392157,1.950621866,2.953717641
bostonHousing,gp,3,trainval,0.971428571,1.918525016,3.557440506
bostonHousing,gp,3,test,1,1.903297539,3.311478856
bostonHousing,gp,4,trainval,0.975824176,1.833601829,3.289636414
bostonHousing,gp,4,test,0.960784314,1.857641186,4.946723421
bostonHousing,gp,5,trainval,0.975824176,1.891965572,3.53041828
bostonHousing,gp,5,test,1,1.872769228,2.687346076
bostonHousing,gp,6,trainval,0.973626374,1.850940235,3.534594095
bostonHousing,gp,6,test,1,1.865251105,1.99286048
bostonHousing,gp,7,trainval,0.975824176,1.828891646,3.457448013
bostonHousing,gp,7,test,0.960784314,1.834960795,4.287960733
bostonHousing,gp,8,trainval,0.978021978,1.850920172,3.420749414
bostonHousing,gp,8,test,0.980392157,1.858991562,3.749540103
bostonHousing,gp,9,trainval,0.975824176,1.752731489,3.150421938
bostonHousing,gp,9,test,0.921568627,1.766800704,5.710108446
bostonHousing,gp,10,trainval,0.978021978,1.843162879,3.358661737
bostonHousing,gp,10,test,0.941176471,1.95644427,4.15468193
bostonHousing,gp,11,trainval,0.975824176,1.835951689,3.477197561
bostonHousing,gp,11,test,0.980392157,1.815641863,3.879537706
bostonHousing,gp,12,trainval,0.975824176,1.881952121,3.510549728
bostonHousing,gp,12,test,1,1.904351256,2.562111092
bostonHousing,gp,13,trainval,0.978021978,1.862308733,3.413441148
bostonHousing,gp,13,test,0.960784314,1.868842986,4.264506525
bostonHousing,gp,14,trainval,0.973626374,1.880410409,3.51673277
bostonHousing,gp,14,test,1,1.914096761,2.959478612
bostonHousing,gp,15,trainval,0.975824176,1.91225236,3.524012965
bostonHousing,gp,15,test,1,1.952991295,2.458638445
bostonHousing,gp,16,trainval,0.975824176,1.829703898,3.432356793
bostonHousing,gp,16,test,0.980392157,1.827225826,3.433071466
bostonHousing,gp,17,trainval,0.975824176,1.866298305,3.480520416
bostonHousing,gp,17,test,0.980392157,1.87247756,3.121193203
