dataset,method,split,traintest,coverage,width,rmse
bostonHousing,ensemble,0,trainval,0.7098901098901099,0.4362457210523432,2.537566194172961
bostonHousing,ensemble,0,test,0.6862745098039216,0.3993167083353452,2.481112100118531
bostonHousing,ensemble,1,trainval,0.7032967032967034,0.39127654259597344,2.2002744777726275
bostonHousing,ensemble,1,test,0.5490196078431373,0.3888866225363668,2.8341125205415145
bostonHousing,ensemble,2,trainval,0.7120879120879121,0.40855757064457826,2.2647569851208225
bostonHousing,ensemble,2,test,0.5882352941176471,0.45047262196826016,2.453973535029324
bostonHousing,ensemble,3,trainval,0.5714285714285714,0.3447997771486172,2.5605131873345743
bostonHousing,ensemble,3,test,0.5490196078431373,0.3893170880716318,2.623436994290505
bostonHousing,ensemble,4,trainval,0.6241758241758242,0.4345313778316511,2.5651135443214264
bostonHousing,ensemble,4,test,0.5882352941176471,0.5054300520137291,4.346924148354523
bostonHousing,ensemble,5,trainval,0.6857142857142857,0.39012661558997425,2.2706583548237664
bostonHousing,ensemble,5,test,0.6666666666666666,0.426772142831017,2.4484081201318904
bostonHousing,ensemble,6,trainval,0.8395604395604396,0.6577754345797332,2.9994687235021686
bostonHousing,ensemble,6,test,0.7254901960784313,0.5460552192940656,2.526151106391691
bostonHousing,ensemble,7,trainval,0.6637362637362637,0.4267647174353059,2.5208761380847364
bostonHousing,ensemble,7,test,0.5882352941176471,0.41962399788319216,3.663563329599439
bostonHousing,ensemble,8,trainval,0.6747252747252748,0.37530304756370814,2.1660163309589384
bostonHousing,ensemble,8,test,0.3333333333333333,0.40523727667374837,3.4472072855968
bostonHousing,ensemble,9,trainval,0.5472527472527473,0.3091807037380886,2.3343985171305377
bostonHousing,ensemble,9,test,0.49019607843137253,0.3719223265129389,5.622124567432967
bostonHousing,ensemble,10,trainval,0.6615384615384615,0.4134627891026467,2.4769303181645554
bostonHousing,ensemble,10,test,0.5686274509803921,0.47305287156331427,3.8363615663736144
bostonHousing,ensemble,11,trainval,0.6879120879120879,0.4074061919792111,2.3039418842782076
bostonHousing,ensemble,11,test,0.7254901960784313,0.3856884977600968,2.424091190604069
bostonHousing,ensemble,12,trainval,0.6307692307692307,0.4124407693250813,2.6050280492711146
bostonHousing,ensemble,12,test,0.6274509803921569,0.4438420182419454,2.7649462393942064
bostonHousing,ensemble,13,trainval,0.6571428571428571,0.42093364359993324,2.5110039730538003
bostonHousing,ensemble,13,test,0.5882352941176471,0.512463794389096,3.2439972277734666
bostonHousing,ensemble,14,trainval,0.7076923076923077,0.4448825193892017,2.5337125466908783
bostonHousing,ensemble,14,test,0.6666666666666666,0.48334588548998425,2.7692277881791285
bostonHousing,ensemble,15,trainval,0.6923076923076923,0.40130518902786205,2.219377042196345
bostonHousing,ensemble,15,test,0.6078431372549019,0.4726065356560068,2.3814297641406954
bostonHousing,ensemble,16,trainval,0.6351648351648351,0.3892633814880131,2.466809949135636
bostonHousing,ensemble,16,test,0.5490196078431373,0.4469309998126592,3.039742245164947
bostonHousing,ensemble,17,trainval,0.7076923076923077,0.3847152941293226,2.208503305527657
bostonHousing,ensemble,17,test,0.6078431372549019,0.39263886820965627,2.954851873360678
bostonHousing,ensemble,18,trainval,0.734065934065934,0.40957404367012085,2.189627518603924
bostonHousing,ensemble,18,test,0.6470588235294118,0.4434580136739211,2.833735566237534
bostonHousing,ensemble,19,trainval,0.6285714285714286,0.40191926313317744,2.6070450788151263
bostonHousing,ensemble,19,test,0.47058823529411764,0.5067977285598222,4.273503113403294
bostonHousing,dropout,0,trainval,0.7714285714285715,0.8773746021556545,3.5661726
bostonHousing,dropout,0,test,0.7450980392156863,0.7641214843248334,3.1207967
bostonHousing,dropout,1,trainval,0.6043956043956044,0.5938429981144475,3.7580614
bostonHousing,dropout,1,test,0.5098039215686274,0.5328319938620378,3.4823694
bostonHousing,dropout,2,trainval,0.7208791208791209,0.6056850272550559,2.990722
bostonHousing,dropout,2,test,0.6274509803921569,0.6149545241530904,3.0043347
bostonHousing,dropout,3,trainval,0.5604395604395604,0.7257413354223712,4.006931
bostonHousing,dropout,3,test,0.5490196078431373,0.7504147072701225,3.7470329
bostonHousing,dropout,4,trainval,0.6659340659340659,0.6914666275031417,3.3262897
bostonHousing,dropout,4,test,0.6078431372549019,0.7799626163277723,5.1881638
bostonHousing,dropout,5,trainval,0.7494505494505495,0.6667264774549945,2.9267735
bostonHousing,dropout,5,test,0.7254901960784313,0.6987272649441589,3.0837357
bostonHousing,dropout,6,trainval,0.621978021978022,0.6717734889768705,3.482003
bostonHousing,dropout,6,test,0.6666666666666666,0.5266825162985928,3.1348293
bostonHousing,dropout,7,trainval,0.6615384615384615,0.5766076400961322,3.0138521
bostonHousing,dropout,7,test,0.5490196078431373,0.49625957538702414,3.7503183
bostonHousing,dropout,8,trainval,0.5758241758241758,0.6423524407328386,4.3316255
bostonHousing,dropout,8,test,0.4117647058823529,0.667792670863799,4.3930635
bostonHousing,dropout,9,trainval,0.7120879120879121,0.5604113013348567,2.724911
bostonHousing,dropout,9,test,0.6666666666666666,0.6318139059739587,5.8688593
bostonHousing,dropout,10,trainval,0.7450549450549451,0.6607567804504162,2.7458825
bostonHousing,dropout,10,test,0.7058823529411765,0.7139658686600961,3.7322993
bostonHousing,dropout,11,trainval,0.7384615384615385,0.9506239334150461,4.7690825
bostonHousing,dropout,11,test,0.6666666666666666,0.836702926616814,4.7676497
