dataset,method,split,traintest,coverage,width,rmse
bostonHousing,svi,0,trainval,0.9678901098901099,1.4124334631860505,3.488700206844212
bostonHousing,svi,0,test,0.9630392156862745,1.3003139038030929,2.6386183303492143
bostonHousing,svi,1,trainval,0.9703186813186813,1.2797208479295992,3.2518952866855715
bostonHousing,svi,1,test,0.9509803921568627,1.1638377817312648,2.9190187308822364
bostonHousing,svi,2,trainval,0.9757142857142858,1.3651289374469455,3.1996766843882662
bostonHousing,svi,2,test,0.981078431372549,1.2840016497952094,2.6000860757927238
bostonHousing,svi,3,trainval,0.9553846153846154,1.2599548632543534,3.4096430417967647
bostonHousing,svi,3,test,0.9190196078431373,1.2154417216776023,2.696970579378122
bostonHousing,svi,4,trainval,0.9703846153846154,1.308399352242043,3.189344713986231
bostonHousing,svi,4,test,0.9385294117647058,1.428383785506922,4.32981714780138
bostonHousing,svi,5,trainval,0.9568131868131868,1.2584338177599341,3.407700297937263
bostonHousing,svi,5,test,0.970392156862745,1.2570533923259066,2.726456644812095
bostonHousing,svi,6,trainval,0.9748571428571429,1.5954964883177494,3.582709408924909
bostonHousing,svi,6,test,0.9784313725490196,1.4130067294749853,2.538134423636333
bostonHousing,svi,7,trainval,0.9607472527472527,1.2402329840822075,3.271854850701209
bostonHousing,svi,7,test,0.8866666666666667,1.107315488288112,4.180010521533621
bostonHousing,svi,8,trainval,0.9710879120879121,1.2861107239442577,3.1091268080150365
bostonHousing,svi,8,test,0.9308823529411765,1.3155576896455732,3.6994173911995336
bostonHousing,svi,9,trainval,0.9754615384615385,1.288279154369687,2.701650052885167
bostonHousing,svi,9,test,0.9423529411764706,1.3413516798468157,5.506399362711724
bostonHousing,svi,10,trainval,0.9681978021978022,1.3821525241738968,3.34426431077007
bostonHousing,svi,10,test,0.9236274509803921,1.4319749429900828,3.7342837638037674
bostonHousing,svi,11,trainval,0.9595934065934066,1.2600016467504729,3.3803348560012454
bostonHousing,svi,11,test,0.9511764705882353,1.133049050182995,3.058243138593892
bostonHousing,svi,12,trainval,0.9681428571428572,1.3019173596825357,3.20272925796923
bostonHousing,svi,12,test,0.9388235294117647,1.1920276404370145,2.9638702225591613
bostonHousing,svi,13,trainval,0.9606153846153846,1.4144292947020103,3.4645855472635647
bostonHousing,svi,13,test,0.9636274509803922,1.522190286327564,3.9402423441717924
bostonHousing,svi,14,trainval,0.9597802197802198,1.267425165884061,3.370288213967576
bostonHousing,svi,14,test,0.9433333333333334,1.213766964793765,3.0459813612862288
bostonHousing,svi,15,trainval,0.9729010989010989,1.325846316647413,3.2335066247220263
bostonHousing,svi,15,test,0.9711764705882353,1.3297944351809827,2.720928380202291
bostonHousing,svi,16,trainval,0.9527912087912088,1.1992621207243763,3.358035068957962
bostonHousing,svi,16,test,0.8829411764705882,1.290999192719382,3.6767597351087495
bostonHousing,svi,17,trainval,0.9754065934065934,1.338178975312583,3.149483040949994
bostonHousing,svi,17,test,0.9456862745098039,1.245796574679916,3.060152957758975
bostonHousing,svi,18,trainval,0.9586043956043956,1.2527312087074314,3.3430793361280386
bostonHousing,svi,18,test,0.9624509803921568,1.3524297875820135,3.1506876847963707
bostonHousing,svi,19,trainval,0.9652747252747252,1.3086526781632881,3.1219951687316265
bostonHousing,svi,19,test,0.9244117647058824,1.4814276104306061,5.2589607315478055
bostonHousing,ll_svi,0,trainval,0.9946263736263736,1.1387130597881818,1.906810868216896
bostonHousing,ll_svi,0,test,0.971764705882353,1.0119654617056897,2.4815606353256663
bostonHousing,ll_svi,1,trainval,0.9944505494505494,1.2720194803053784,2.251239773122759
bostonHousing,ll_svi,1,test,0.9400980392156862,1.2080560149855473,2.7094372885892133
bostonHousing,ll_svi,2,trainval,0.9895494505494505,1.1233578824318506,2.1303818877878524
bostonHousing,ll_svi,2,test,0.9276470588235294,1.112625497897326,2.5400913133012084
bostonHousing,ll_svi,3,trainval,0.9923736263736264,1.1590949028103403,1.9940014692502932
bostonHousing,ll_svi,3,test,0.8885294117647059,1.1226977390107984,2.86273563464364
bostonHousing,ll_svi,4,trainval,0.9925384615384616,1.1818807065538346,1.9167168646552049
bostonHousing,ll_svi,4,test,0.9230392156862746,1.2837742069505866,3.8809192888342467
bostonHousing,ll_svi,5,trainval,0.9928351648351649,1.172732868982388,2.0951087964911133
bostonHousing,ll_svi,5,test,0.9992156862745099,1.231250142156758,2.36003175896682
